January,February,March,April,May,June,July,August,September,October,November,December
97,71,132,106,111,126,118,94,86,116,133,168
106,77,121,100,90,101,88,72,88,91,138,175
126,91,112,100,98,106,98,73,92,100,138,188
117,91,106,86,85,80,73,64,68,70,139,164
64,66,84,76,85,71,79,66,59,62,79,75
89,72,93,86,93,91,74,65,64,68,90,105
89,72,82,74,82,76,68,59,53,65,83,99
64,61,62,61,58,48,49,44,43,52,82,79
102,80,80,90,93,79,95,59,68,51,78,94
109,97,94,86,86,74,77,76,82,53,79,104
88,78,84,74,71,60,61,65,62,55,64,79
111,92,97,76,77,64,58,71,78,61,89,124
54,54,64,59,54,44,48,49,50,43,51,58
79,84,82,61,63,58,54,62,73,60,70,103
126,96,100,109,98,97,80,70,91,71,95,128
176,122,125,106,91,97,80,78,98,71,131,178
130,101,102,73,75,65,58,76,93,57,83,122
98,90,85,63,64,57,55,65,85,62,70,107
54,53,66,56,57,46,54,62,64,52,62,74
58,74,69,59,54,43,42,50,64,58,53,86
40,49,47,41,39,32,28,32,38,40,38,56
96,96,82,71,77,75,69,72,95,61,78,100
93,94,82,66,72,67,61,67,62,60,84,107
56,68,61,53,55,47,41,50,63,51,52,75
51,58,64,64,55,38,31,42,41,42,45,52
73,64,61,77,78,63,51,57,52,87,87,91
134,100,113,85,86,90,77,74,77,67,120,144
80,90,93,68,78,80,74,68,64,66,108,96
75,82,93,73,78,70,74,68,58,63,82,66
95,109,102,77,97,85,81,69,64,74,110,111
134,178,152,104,118,83,79,68,67,95,103,126
