province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,38,57,4,29,0.632,95,79,2189.0,69434.0,35943.3,164158.0,,9.27,41.76,,,1140.0,5739.1,599.29,13.35,0.42,2.57
Tianjin,48,69,8,39,0.892,100,90,1387.0,43854.0,14008.0,101068.0,,4.37,2.54,,,875.0,4911.8,329.41,14.16,5.07,2.58
Hebei,45,80,13,34,0.858,101,88,7464.0,27136.0,36013.8,48302.0,,9.88,446.77,,,3934.0,13765.1,1747.28,9.66,1.11,2.42
Shanxi,44,86,19,35,0.992,103,88,3490.0,25214.0,17835.6,51051.0,,5.66,272.07,,,2342.0,7703.2,764.72,11.21,1.63,2.29
Inner_Mongoria,28,58,14,21,0.625,90,65,2403.0,31497.0,17258.0,71640.0,,6.85,649.98,,,3900.0,6908.2,616.85,4.29,1.31,3.2
Liaoning,37,62,16,26,0.867,87,70,4255.0,32738.0,25011.4,58629.0,,14.79,158.01,,,2423.0,9357.5,931.56,9.76,2.99,2.52
Jilin,31,52,12,22,0.733,82,61,2399.0,25751.0,12256.0,50561.0,,9.26,123.89,,,805.0,4319.9,482.2,6.62,2.07,2.54
Heilongjiang,28,46,11,18,0.583,72,54,3171.0,24902.0,13633.4,42432.0,,7.15,121.28,,,1014.0,3449.9,555.33,3.38,1.82,2.96
Shanghai,32,41,6,37,0.659,98,68,2488.0,72232.0,38963.3,156803.0,,16.46,5.44,,,1576.0,10258.6,442.34,18.16,5.1,3.1
Jiangsu,35,57,8,30,0.758,103,74,8477.0,43390.0,102807.7,121333.0,,30.58,51.64,,,6374.0,44631.3,2038.04,16.17,1.43,2.46
Zhejiang,25,46,6,28,0.625,88,59,6468.0,52397.0,64689.1,100738.0,,17.94,119.93,,,4830.0,26361.5,1773.38,19.23,2.26,2.87
Anhui,39,62,8,29,0.7,97,75,6105.0,28103.0,38061.5,62411.0,,11.95,151.47,,,2428.0,15216.5,986.54,15.71,3.1,2.69
Fujian,20,37,6,19,0.567,88,51,4161.0,37202.0,43608.6,105106.0,,7.53,204.32,,,2483.0,20168.4,730.47,19.9,2.73,2.62
Jiangxi,30,50,13,22,0.758,85,58,4519.0,28017.0,25782.0,57065.0,,7.71,270.74,,,1627.0,11107.9,656.04,18.87,2.84,2.03
Shandong,40,70,11,27,0.717,99,79,10165.0,32886.0,72798.2,71825.0,,26.3,141.75,,,6940.0,28456.7,2537.1,13.78,2.15,2.84
Henan,52,86,10,30,0.858,103,94,9941.0,24810.0,54259.4,54691.0,,12.21,211.21,,,3392.0,22220.9,1751.58,16.31,1.75,2.28
Hubei,37,58,8,24,0.85,90,69,5745.0,27881.0,43004.5,73687.0,,10.58,258.16,,,2144.0,15933.8,931.98,16.96,2.5,1.94
Hunan,35,50,8,21,0.808,79,60,6645.0,29380.0,41542.6,62537.0,,8.1,574.01,,,1929.0,15949.2,952.19,17.18,2.66,2.56
Guangdong,22,38,8,21,0.658,87,52,12624.0,41029.0,111151.6,88521.0,,52.55,264.97,,,6926.0,43868.1,2500.41,22.98,2.73,2.67
Guangxi,27,45,10,18,0.742,76,50,5019.0,24562.0,22120.9,44237.0,,7.47,211.01,,,2029.0,7046.8,750.44,21.63,2.71,2.47
Hainan,13,26,4,10,0.492,73,38,1012.0,27904.0,5566.2,55438.0,,1.77,15.16,,,363.0,1072.2,149.05,24.88,3.03,2.78
Chongqing,33,53,8,39,0.802,70,67,3209.0,30824.0,25041.4,78294.0,,7.07,303.15,,,1186.0,9969.6,503.83,17.2,2.23,1.94
Sichuan,31,49,8,24,0.683,81,60,8371.0,26522.0,48501.6,58009.0,,13.05,343.92,,,2865.0,17505.6,1289.94,11.45,1.8,2.0
Guizhou,22,33,10,15,0.608,71,44,3858.0,21795.0,17860.4,46355.0,,5.68,280.04,,,1586.0,6263.0,578.26,16.29,1.86,1.84
Yunnan,21,34,8,14,0.683,77,44,4722.0,23295.0,24555.7,52047.0,,5.13,334.08,,,2025.0,8387.5,802.15,17.49,2.15,2.12
Tibet,10,22,7,12,0.583,90,48,366.0,21744.0,1902.7,52280.0,,0.63,96.99,,,82.0,714.9,61.54,5.16,1.1,2.31
Shaanxi,42,73,10,32,0.742,89,78,3955.0,26226.0,26014.1,65867.0,,6.59,324.45,,,1741.0,11222.0,734.74,12.97,2.22,2.17
Gansu,28,67,12,24,0.608,94,67,2501.0,20335.0,8979.7,35848.0,,3.03,341.96,,,1376.0,2824.8,374.78,7.82,1.05,2.77
Qinghai,23,47,14,21,0.725,96,60,593.0,24037.0,3009.8,50845.0,,0.84,294.31,,,742.0,1143.2,129.1,1.71,0.83,2.53
Ningxia,35,78,15,28,0.725,97,77,721.0,25735.0,3956.3,55021.0,,2.69,87.03,,,1038.0,1629.3,170.95,10.66,0.88,1.88
Xinjiang,47,116,9,24,0.792,85,95,2590.0,23845.0,13800.7,53606.0,,8.13,204.2,,,3099.0,4786.7,469.43,9.8,0.39,2.28
